id;title;isbn;publication_date;description;language;pages;available;total_copies;available_copies
1;guider;bien que touriste conseil municipal;2026-05-18;espérer vlan;hi vis-à-vie de;1904;true;10456;8202
2;lectorat crac;avex antique alors;2026-05-18;athlète;secouriste;31560;false;12462;26213
3;toc-toc avare;à l'insu de;2026-05-18;secours grrr;pour que;1704;false;3520;6168
4;juriste cocorico;ouille badaboum;2026-05-18;par suite de d’autant que concurrence;insister;2213;false;4304;16383
5;sédentaire cot cot;plus quoique collègue;2026-05-18;depuis tchou tchouu fonctionnaire;sédentaire conseil d’administration lectorat;28426;false;13782;26357
6;soigner outre;apparemment;2026-05-18;demain;autrefois atchoum;25677;true;30977;18373
7;smack;diététiste drelin près de;2026-05-18;foule;y personnel malgré;3833;false;28143;14063
8;gens;conseil d’administration de façon que;2026-05-18;à même dans la mesure où;au-dehors;8928;false;11489;10091
9;ha;blablabla sitôt que emmerder;2026-05-18;broum presque;prout compenser même si;21456;true;6549;13251
10;par vivace main-d’œuvre;équipe au cas où sans que;2026-05-18;soit dévorer;dévoiler que;6993;false;10311;18340
11;dissocier grrr police;insolite au-delà;2026-05-18;à moins de actionnaire courir;au cas où;6410;true;4753;19316
12;avant que;davantage autour de jamais;2026-05-18;alors que;pour que gouverner;10227;false;17409;15384
13;survivre simple;démontrer en outre de calme;2026-05-18;désagréable super bon;commis de cuisine innombrable bien;24201;true;31646;22119
14;de façon que affronter afin que;demander refermer;2026-05-18;plic;exprimer au point que égoïste;27489;false;6887;14411
15;foncer commis de cuisine pendant;jeune enfant adepte;2026-05-18;peut-être snob;après que miam;14107;true;12837;3909
16;coïncider responsable miam;plus drelin tantôt;2026-05-18;auprès de;considérable de peur de combien;25257;true;19351;5044
17;réclamer;concernant plaider percevoir;2026-05-18;longtemps commis;trop arrière dring;28653;false;471;26481
18;concurrence oh même;accorder chez en;2026-05-18;clientèle cesser;lire;12960;false;18901;4136
19;parlementaire secours;snif aux environs de surprendre;2026-05-18;loufoque;derechef au moyen de tendre;1387;true;3719;17585
20;sitôt proche posséder;de sorte que au-dessus de;2026-05-18;énorme répandre juriste;de crainte que selon plus;12390;true;21582;13015
21;avant que neutre;au moyen de;2026-05-18;gens;pourpre séculaire témoigner;29483;false;31973;19301
22;selon plaider circulaire;areu areu plic sans;2026-05-18;spécialiste vorace;quasi psitt;15895;false;5566;11763
23;admirer comme vite;auprès de prestataire de services exposer;2026-05-18;partenaire à partir de contre;ding gratis prout;6431;false;23743;5911
24;de façon que loin de claquer;pas mal vu que camarade;2026-05-18;à peu près aimable tsoin-tsoin;brave;26313;false;9820;24016
25;exprès placide;succéder afin que;2026-05-18;équipe;oh;235;false;29874;25711
26;à l'encontre de rose dès que;sauf à corps enseignant;2026-05-18;pendant frapper;membre titulaire de façon que;473;true;26697;27065
27;d'entre;d'avec contre;2026-05-18;électorat;patientèle juriste moyennant;31685;true;2354;10090
28;de façon à ce que moderne;quoique;2026-05-18;circulaire solliciter de façon à ce que;si pourrir;11335;true;2336;16209
29;apprivoiser lectorat;mince;2026-05-18;hi;équipe de recherche fourbe;21649;true;12316;22872
30;commettre loin de;coûter prestataire de services;2026-05-18;de peur que;pour que;5365;true;16774;21174
