id;name;description
1;toc;aussitôt
2;miaou badaboum;convertir
3;renforcer dresser;large souple
4;de façon que badaboum;touchant vouh commenter
5;décourager tant que chef de cuisine;personnel professionnel à condition que hi
6;doucement jeune enfant;fade psitt dissiper
7;répartir tout à fait sitôt que;cot cot au point que hebdomadaire
8;de peur de;assez même si
9;si hors habiter;restreindre frotter
10;afin que traîner;chef de cuisine autour rectangulaire
11;rédaction assez peut-être;équipe de recherche
12;suffisamment;recta pschitt
13;mépriser touriste;adepte
14;bien que pourvu que;joliment
15;obéir;broum main-d’œuvre remédier
16;comme;à condition que sincère
17;extra zzzz;présidence de façon à ce que avant
18;dessous;ouah même si
19;entre parlementaire produire;pschitt inciter bzzz
20;près frémir;comme certes
21;aussi glouglou;soit tellement près de
22;vu que commis de cuisine;vaste
23;essayer a;brusque
24;raccrocher soit hé;quelque commissionnaire
25;bof présidence;ça
26;adversaire rocher;gai suivant
27;groin groin oui magenta;éclater à l'exception de
28;en decà de pendant;quand vraiment séculaire
29;bè sauf;mentir
30;puisque;dessous
