id;borrow_date;due_date;return_date;status
1;2026-05-18;2026-05-18;2026-05-18;BORROWED
2;2026-05-18;2026-05-18;2026-05-18;LATE
3;2026-05-18;2026-05-18;2026-05-18;LATE
4;2026-05-18;2026-05-18;2026-05-18;RETURNED
5;2026-05-18;2026-05-18;2026-05-18;RETURNED
6;2026-05-18;2026-05-18;2026-05-18;BORROWED
7;2026-05-18;2026-05-18;2026-05-18;LATE
8;2026-05-18;2026-05-18;2026-05-18;RETURNED
9;2026-05-18;2026-05-18;2026-05-18;BORROWED
10;2026-05-18;2026-05-18;2026-05-18;RETURNED
11;2026-05-18;2026-05-18;2026-05-18;BORROWED
12;2026-05-18;2026-05-18;2026-05-18;RETURNED
13;2026-05-18;2026-05-18;2026-05-18;RETURNED
14;2026-05-18;2026-05-18;2026-05-18;BORROWED
15;2026-05-18;2026-05-18;2026-05-18;BORROWED
16;2026-05-18;2026-05-18;2026-05-18;BORROWED
17;2026-05-18;2026-05-18;2026-05-18;BORROWED
18;2026-05-18;2026-05-18;2026-05-18;RETURNED
19;2026-05-18;2026-05-18;2026-05-18;RETURNED
20;2026-05-18;2026-05-18;2026-05-18;BORROWED
21;2026-05-18;2026-05-18;2026-05-18;LATE
22;2026-05-18;2026-05-18;2026-05-18;LATE
23;2026-05-18;2026-05-18;2026-05-18;RETURNED
24;2026-05-18;2026-05-18;2026-05-18;BORROWED
25;2026-05-18;2026-05-18;2026-05-18;LATE
26;2026-05-18;2026-05-18;2026-05-18;RETURNED
27;2026-05-18;2026-05-18;2026-05-18;BORROWED
28;2026-05-18;2026-05-18;2026-05-18;LATE
29;2026-05-18;2026-05-18;2026-05-18;RETURNED
30;2026-05-18;2026-05-18;2026-05-18;RETURNED
