id;reservation_date;status
1;2026-05-18;READY
2;2026-05-18;READY
3;2026-05-18;READY
4;2026-05-18;WAITING
5;2026-05-18;CANCELLED
6;2026-05-18;WAITING
7;2026-05-18;CANCELLED
8;2026-05-18;WAITING
9;2026-05-18;READY
10;2026-05-18;CANCELLED
11;2026-05-18;READY
12;2026-05-18;WAITING
13;2026-05-18;CANCELLED
14;2026-05-18;CANCELLED
15;2026-05-18;WAITING
16;2026-05-18;CANCELLED
17;2026-05-18;WAITING
18;2026-05-18;WAITING
19;2026-05-18;READY
20;2026-05-18;WAITING
21;2026-05-18;WAITING
22;2026-05-18;WAITING
23;2026-05-18;WAITING
24;2026-05-18;WAITING
25;2026-05-18;CANCELLED
26;2026-05-18;READY
27;2026-05-18;CANCELLED
28;2026-05-18;WAITING
29;2026-05-18;CANCELLED
30;2026-05-18;CANCELLED
